longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
-93.21089414542236,48.06634068648018,51,2915,527.160504382852,1068,731,3.5069216921227,291847
-94.47701880442243,46.08938279453711,105,8170,893.652474364419,5706,2727,6.733503791279006,358247
-96.62207010601225,48.56572772747715,58,6890,689.0,2462,1229,3.865864985857825,265453
-89.56951570752358,47.61447137145024,56,14087,1960.6206621794179,4244,1931,3.056389076230237,219226
-95.85424230421712,44.05564635253713,102,16225,2803.5325326818975,8865,3189,1.7380060095973522,68446
-95.23412474268447,49.25617187465686,101,3861,805.3463701869048,2155,737,2.5743980573059635,185881
-95.38344862879144,47.99072424174308,5,8055,1851.5635127738838,3097,1552,3.4522199678911605,256118
-90.20885116852008,48.137779401134026,88,3873,724.6282146536105,1475,694,3.1330231977560756,238741
-91.31959937602882,44.25587043278572,105,10612,1374.2003802614881,5151,1585,1.723979912550914,118765
-93.67856054431711,46.157277033583846,59,9080,1643.2476352598499,4072,1124,3.360790621357396,223633
-89.84324263857069,45.68770834297223,73,19103,3612.1264585809286,10771,3212,2.0424300040497796,163517
-96.7935679679444,48.96791343420675,49,6832,1959.9487997071212,1821,1130,2.319742926106947,220528
-90.31873806459328,47.29880420847592,107,10587,2412.1646486250647,7246,2187,4.497862526085711,348567
-96.73470951520117,48.354293518297894,83,2841,332.8993156414229,2093,564,2.698313020352239,211439
-94.18829364130386,46.116143773081255,95,8279,,2611,1650,2.2461342337530494,186251
-96.78416243650103,44.84070845853018,9,13659,3207.467755769192,9544,2937,1.9287976281261174,139675
-89.50793876346583,46.77205024339342,17,12852,2583.893828121714,6520,2384,2.177408059424354,167242
-90.15920083074536,43.876521811014634,81,6505,772.864150562137,2547,1060,2.3565850164474003,185276
-92.69704804460402,48.38302391475624,12,18025,4342.582385637071,9067,3404,4.419804780217502,332308
-95.52259678021352,47.22681995482018,50,13510,2947.5161452197017,8102,2827,2.9611774600268577,238852
-95.06881151597949,47.972717666503705,109,7911,1520.098780445562,4836,1468,5.164894615590252,393485
-93.73851608136017,45.59170321196622,46,12818,2046.8015857737387,11125,3409,1.7758457107783037,137572
-94.71459259480893,49.22711834392993,6,4714,1181.6418287036229,1248,736,5.370419220465002,335476
-97.03588292815095,48.76941461580097,56,5624,,2714,1228,2.80852100129243,174568
-92.14682873749807,48.09246263273519,18,11314,1383.5451359845413,8666,3263,2.7135817054733553,218276
-92.47660513848157,44.64836837632661,112,20023,3268.926757163405,12040,3398,2.699622403335121,168831
-90.23680758521493,46.2536539219895,88,17292,3719.714553029,2898,2898,8.304670510539667,510423
-93.52822389118803,43.75844221814465,117,2932,386.4245996990576,1675,750,2.4241462308185255,160973
-94.54574099415241,44.41030800319853,53,5165,892.3241189390495,1417,842,7.628355333778495,494063
